iter	Passed	Remaining
0	62	62249
1	67	33525
2	71	23710
3	75	18797
4	79	15812
5	83	13833
6	87	12480
7	91	11361
8	95	10509
9	99	9864
10	103	9326
11	107	8884
12	112	8527
13	116	8202
14	121	7966
15	125	7714
16	129	7478
17	133	7264
18	137	7087
19	141	6911
20	145	6770
21	149	6633
22	153	6513
23	157	6394
24	161	6296
25	165	6193
26	169	6122
27	182	6342
28	187	6275
29	191	6184
30	195	6099
31	199	6049
32	204	6003
33	209	5938
34	212	5871
35	219	5877
36	223	5830
37	228	5792
38	233	5759
39	239	5736
40	244	5721
41	250	5719
42	255	5696
43	260	5659
44	264	5617
45	269	5585
46	273	5540
47	277	5512
48	282	5474
49	286	5436
50	290	5401
51	294	5361
52	297	5323
53	302	5291
54	306	5271
55	311	5252
56	316	5234
57	320	5207
58	324	5178
59	328	5152
60	334	5148
61	339	5142
62	344	5131
63	349	5115
64	353	5089
65	357	5063
66	362	5042
67	366	5024
68	371	5013
69	375	4988
70	379	4965
71	383	4946
72	387	4921
73	391	4898
74	395	4876
75	399	4854
76	403	4830
77	407	4814
78	411	4792
79	414	4770
80	418	4749
81	422	4729
82	426	4708
83	430	4691
84	434	4676
85	438	4658
86	442	4647
87	446	4632
88	450	4614
89	454	4595
90	458	4577
91	462	4569
92	467	4558
93	471	4544
94	475	4529
95	479	4515
96	483	4499
97	487	4490
98	492	4483
99	497	4480
100	502	4474
101	506	4461
102	511	4451
103	515	4438
104	519	4426
105	525	4431
106	579	4834
107	590	4880
108	601	4919
109	612	4957
110	619	4965
111	626	4969
112	632	4968
113	638	4963
114	647	4985
115	656	5002
116	662	5003
117	668	4996
118	674	4994
119	682	5002
120	687	4997
121	695	5006
122	703	5014
123	710	5017
124	718	5028
125	726	5037
126	733	5042
127	739	5037
128	747	5044
129	754	5048
130	761	5051
131	768	5053
132	775	5056
133	783	5063
134	792	5080
135	801	5092
136	810	5105
137	819	5117
138	828	5131
139	837	5142
140	846	5155
141	855	5169
142	865	5187
